path,role,lines,bytes,sha256,imports,classes,functions
tools/prepare_human_evaluation.py,Data or artifact preparation utility.,176,7414,cd913d90acdcd87faaf9a38d16dd510befc04688d421bef24539478a45ac08d4,7,0,4
tools/prepare_pretraining_blocks.py,Data or artifact preparation utility.,131,4671,cb62921c2467664375c49d830ed466f6ae7cc23e7a922dc5007f1db5bc0526b2,10,0,3
tools/prepare_replay_cache.py,Data or artifact preparation utility.,106,3895,d8f94ed66c3dff20bc53853c6a570299f2cbaa72b4a6be823fe63114dcdaaf17,10,0,3
tools/prepare_task_cache.py,Data or artifact preparation utility.,157,5534,9a887776e0ea30f9cf430ece892967dffe4fcd0fe62c2662adbd3420fd4c7e6e,8,0,3
tools/run_ablation_suite.py,Pipeline orchestration utility.,107,3297,8b5722c47a29f779c0875b346e5cb7a6936cb028a2cfc67ba7e4a844d457e09e,9,0,3
tools/run_bidirectional_identification.py,Pipeline orchestration utility.,371,14320,2ac585b8173ea25887bb0fc4e0209e996264e8230dece04c460d46fc715536a6,19,0,8
tools/run_classical_baselines.py,Pipeline orchestration utility.,338,14204,895866118a1ff0f2eec33dfc055033fc6ea94ede5f807025c70e546e8473664b,22,0,9
tools/run_continuation_lr_pilot.py,Pipeline orchestration utility.,164,7066,895dd22b5b9acf67bc09ce8ccf1504407f64c440f56fe2a7dbf01c7e316fd1f4,9,0,4
tools/run_full_pipeline.py,Pipeline orchestration utility.,290,11356,e3258d0116fbf6d9c5bddb96ea46150d69af34dae97ab17b8342341462e1c3f4,8,0,7
tools/run_identification_fusion_pilot.py,Pipeline orchestration utility.,226,9434,caa28bef7461073448ff87de366323f6d4fb63206e735940ca2d484b558868bf,11,0,4
tools/run_normalization_fusion_pilot.py,Pipeline orchestration utility.,456,18353,35b60b362009eb896f72885c359076c46e1cdb989db4f2fc118ce6bfa9ea5bb3,15,0,5
tools/run_optimizer_pilot.py,Pipeline orchestration utility.,113,3845,1e8fba5891200edef7595d4f1ea03c88f662a98cf6c3c5780f356a49a12dfc5f,8,0,3
tools/run_stage_s_retention_pilot.py,Pipeline orchestration utility.,375,14764,10f9f0b824cc1a6fc12b64f77ec2db1d5d16bd5efa36b7671b327936929c4806,16,0,8
tools/run_statistics.py,Pipeline orchestration utility.,640,25196,7426dc085acdcdd395bbd1f650bc18f9ef4d5603e757d552973c04a6ff3dffe2,12,0,21
tools/run_task_experiments.py,Pipeline orchestration utility.,833,35010,15b1098b507b4d7c8fda770d56dff02c2a47bf5c2f4529096ce7b7b389219d16,23,0,14
tools/run_tokenizer_proxy.py,Pipeline orchestration utility.,450,18772,251cd58ce4db49f9ce46f20bc745d69f0dd53ec4cdeb087913002d38ff90e42a,23,0,8
tools/select_switch_router.py,Experiment command-line utility.,129,5256,c82fc88a2327a27dea589512d37208a13510b5a8a42805290ce3b7b15842b03c,5,0,3
tools/select_upcycling_strategy.py,Experiment command-line utility.,157,6359,cdb20aa9fa6fc2c31b6ac6ee159e246267f44792839e72d0063231b538240f7b,5,0,3
tools/summarize_development_results.py,Analysis and reporting utility.,257,9909,3567517794c9dd30eca98f5b27f9acdd51bff4412d17acb804a5fb3cd3cca149,6,0,5
tools/supervise_full_pipeline.py,Pipeline orchestration utility.,207,6640,59d5cd9b7407d893b6d59005391644bbd380b54b5f728901f3d83fd5aa457575,9,0,8
tools/train_external_identification.py,Training entry point.,339,14859,b1b5013eef92cc7e362dee9b78fdff159abd77962c5bdae759d6db04515d32ea,20,1,7
tools/train_external_normalization.py,Training entry point.,313,13390,06d285a76e632add97dfc9d565ff29eea17037a82f3b3d496653eaf66d0496b4,18,1,5
tools/train_foundation.py,Training entry point.,547,26112,0402c4889a4a1edf9d57ae80bfa7b77f6aa620ff96df8a5da168598f578e59de,18,0,3
tools/train_tokenizer_candidates.py,Training entry point.,234,9820,60c91acbfd4803a4dba343bdb38bb4dd364d292e84c0dd65682a0908b0745dde,16,0,5
tools/validate_q1_bundle.py,"Audit, verification, or validation utility.",116,4745,84bec10d4d2f2d5128b0b2e24b230c5cdfece7e8e1b3beaf942e92e2af14a917,6,0,2
tools/verify_pretraining_sources.py,"Audit, verification, or validation utility.",46,1386,29d1d7cdf44dc9ba44c2e868cb89bf542572a288155099fd9c43779869a5bb56,6,0,1
